請求項,判定結果,判断コメント
画像処理装置について、入力画像を取得する取得部と、前記入力画像に対して畳み込みニューラルネットワークを用いて特徴量を抽出する特徴抽出部と、前記特徴量に基づいて物体を認識する認識部とを備える画像処理装置。,対象,"CNNを用いた特徴量抽出および物体認識を行う構成が、当社の画像認識AI技術と一致しているため。"
通信制御方法に関し、端末が基地局から受信した信号品質に基づいて送信電力を制御する工程を含む通信制御方法。,対象外,"通信分野における無線制御技術であり、当社のAI／ソフトウェア技術の適用範囲外である。"
情報処理システムであって、ユーザ入力に基づいて自然言語処理モデルを用いて応答文を生成する生成部を有する情報処理システム。,対象,"自然言語処理モデルを用いた応答生成は、当社のLLM関連技術と直接的に関連する。"
半導体装置に関し、基板上に形成されたトランジスタと、前記トランジスタを覆う絶縁膜とを含む半導体装置。,対象外,"半導体物理構造に関する発明であり、ソフトウェア・AI技術とは関係しない。"
学習装置であって、訓練データを入力として機械学習モデルを学習させる学習部と、前記学習済みモデルを用いて推論を行う推論部とを備える学習装置。,対象,"機械学習モデルの学習および推論処理が当社技術の中核と一致する。"
制御装置に関し、温度センサの検出結果に基づいてヒータをオンオフ制御する制御部を備える制御装置。,対象外,"単純なフィードバック制御であり、AI・高度な情報処理要素が含まれていない。"
データ処理方法であって、複数の文書を分割してチャンクを生成し、前記チャンクをベクトル化して類似度検索を行う工程を含むデータ処理方法。,対象,"文書チャンク化、ベクトル化、類似度検索という構成が当社のRAG関連技術と合致する。"
車両制御システムに関し、アクセル操作量に応じてエンジン出力を制御する車両制御システム。,対象外,"従来型の車両制御技術であり、情報処理・AI技術との関連性が低い。"
情報提供装置であって、取得したデータをクラウドサーバに送信し、前記クラウドサーバ上の機械学習モデルにより分析結果を生成する情報提供装置。,対象,"クラウド上の機械学習モデルによるデータ分析は当社の提供サービスと関連する。"
製造方法に関し、材料を加熱し、所定形状に成形する工程を含む製造方法。,対象外,"物理的な製造プロセスに関する発明であり、情報処理技術とは無関係である。"
